model_name,release_year,theme,subtheme,total_pieces,total_mini_figures,availability
Air Boat,2001,Studios,,24,1,Retail
Stunt Go-Cart,2001,Studios,,25,1,Retail
Raptor Rumble,2001,Studios,Jurassic Park III,157,3,Retail
Spinosaurus Attack,2001,Studios,Jurassic Park III,155,2,Retail
Huki,2001,Bionicle,Matoran,8,NA,Not specified
Onepu,2001,Bionicle,Matoran,8,NA,Not specified
Maku,2001,Bionicle,Matoran,8,NA,Not specified
Jala,2001,Bionicle,Matoran,8,NA,Not specified
Kongu,2001,Bionicle,Matoran,8,NA,Not specified
Matoro,2001,Bionicle,Matoran,8,NA,Not specified
Racing Leopard,2001,Duplo,,2,1,Not specified
Racing Tiger,2001,Duplo,,2,1,Not specified
Racing Lion,2001,Duplo,,2,1,Not specified
Nursing the Baby,2001,Duplo,,5,1,Not specified
Cooking with Mummy,2001,Duplo,,6,1,Not specified
Walking the dog with Daddy,2001,Duplo,,4,1,Not specified
Pirates Treasure Hunt,2001,Studios,,31,4,Promotional
Caterpillar,2001,Baby,,3,NA,Not specified
MyBot Expansion Kit,2001,Action Wheelers,,14,1,Not specified
Speedbike,2001,Action Wheelers,,13,1,Not specified
Remote Control Dozer,2001,Action Wheelers,,21,1,Not specified
Lisa,2001,Duplo,Dolls,4,2,Not specified
Marie,2001,Duplo,Dolls,6,2,Not specified
Anna,2001,Duplo,Dolls,4,2,Not specified
Picnic,2001,Duplo,Dolls,14,NA,Not specified
Sarah,2001,Duplo,Dolls,32,2,Not specified
Bedroom,2001,Duplo,Dolls,20,NA,Not specified
Action Policebike,2001,Duplo,,5,1,Not specified
Musical Apple,2001,Baby,,1,NA,Not specified
Play Train,2001,Baby,,6,1,Not specified
Flying Action,2001,Duplo,,9,2,Not specified
Race Action,2001,Duplo,,46,4,Not specified
Circus Princess,2001,Duplo,,7,1,Not specified
Growing Garden,2001,Duplo,,19,1,Not specified
Adventure Trip,2001,Duplo,,29,2,Not specified
Forest Picnic,2001,Duplo,,24,4,Not specified
Big Gas Truck,2001,Duplo,,3,1,Not specified
Friendly Farm,2001,Duplo,,10,1,Not specified
Fun Playground,2001,Duplo,,24,4,Not specified
Wildlife Park,2001,Duplo,,32,3,Not specified
Summer Day Out,2001,Scala,,20,1,Not specified
1-2-3 ... Marie,2001,Scala,,17,1,Not specified
Emma's Chill-Out Kitchen,2001,Scala,,58,1,Not specified
Indie's Stable,2001,Scala,,95,NA,Not specified
Play Plane,2001,Baby,,1,1,Not specified
Soft Stacking Hen,2001,Baby,,5,NA,Not specified
Take Along Friend,2001,Baby,,1,1,Not specified
Crib and Mirror Adventure,2001,Baby,,2,NA,Not specified
Light and Sound Stacker,2001,Baby,,10,NA,Not specified
Soft Frog Rattle,2001,Baby,,1,NA,Not specified
Caterpillar Teether,2001,Baby,,1,NA,Not specified
Star Teether,2001,Baby,,1,NA,Not specified
Roll 'n' Play,2001,Baby,,1,NA,Not specified
Stacking Tower,2001,Baby,,5,NA,Not specified
Shape and Colour Sorter,2001,Baby,,9,NA,Not specified
Goozle,2001,Duplo,Zooters,10,NA,Not specified
Tez,2001,Duplo,Zooters,9,NA,Not specified
Wazo,2001,Duplo,Zooters,6,NA,Not specified
Tubes,2001,Duplo,,58,NA,Not specified
Brick Runner,2001,Duplo,,25,NA,Not specified
Bob's Workshop,2001,Duplo,Bob the Builder,10,1,Not specified
Scoop on the Road,2001,Duplo,Bob the Builder,21,NA,Not specified
"Bob, Lofty and the Mice",2001,Duplo,Bob the Builder,18,1,Retail
Bob and Muck Repair the Barn,2001,Duplo,Bob the Builder,35,1,Not specified
Bob's Big Building Box,2001,Duplo,Bob the Builder,51,1,Not specified
Muck and Scoop,2001,Duplo,Bob the Builder,52,2,Not specified
Women's Team,2001,Sports,Football,62,6,Retail - limited
Sopwith Camel,2001,Advanced Models,Aircraft,574,NA,Retail - limited
1x4x3 Wall Element Clear,2001,Bulk Bricks,,25,NA,LEGO exclusive
1x4x5 Black Window with Transparent Light Blue Pane,2001,Bulk Bricks,,20,NA,LEGO exclusive
LEGO Dragon,2001,Advanced Models,Sculptures,1530,NA,LEGO exclusive
Small Locomotive,2001,Trains,9 V,67,NA,LEGO exclusive
Large Locomotive,2001,Trains,9 V,92,NA,LEGO exclusive
Tender,2001,Trains,9 V,39,NA,LEGO exclusive
Locomotive Blue Bricks,2001,Trains,9 V,106,NA,LEGO exclusive
Locomotive Green Bricks,2001,Trains,9 V,106,NA,LEGO exclusive
Locomotive Black Bricks,2001,Trains,9 V,106,NA,LEGO exclusive
Locomotive Brown Bricks,2001,Trains,9 V,106,NA,LEGO exclusive
Locomotive Dark Grey Bricks,2001,Trains,9 V,106,NA,LEGO exclusive
Light Unit for Train,2001,Trains,9 V,4,NA,LEGO exclusive
Life On Mars Accessories,2001,Bulk Bricks,Space,48,NA,LEGO exclusive
1x2 Brown Bricks,2001,Bulk Bricks,,100,NA,LEGO exclusive
1x6 Brown Bricks,2001,Bulk Bricks,,50,NA,LEGO exclusive
2x2 Brown Bricks,2001,Bulk Bricks,,100,NA,LEGO exclusive
2x4 Brown Bricks,2001,Bulk Bricks,,50,NA,LEGO exclusive
2x4 Roof Tiles Steep Sloped Brown,2001,Bulk Bricks,,50,NA,LEGO exclusive
2x4 Ridge Roof Tiles Steep Sloped Brown,2001,Bulk Bricks,,25,NA,LEGO exclusive
Ultimate Builders Set,2001,Mindstorms,1.5,321,NA,Retail - limited
Robotics Invention System V2.0,2001,Mindstorms,2,717,NA,Not specified
Robotics Invention System Upgrade Kit,2001,Mindstorms,1.5,1,NA,LEGO exclusive
Racer,2001,Creator,,21,NA,Promotional
Sea Helicopter,2001,Creator,,13,NA,Promotional
Ship,2001,Creator,,12,NA,Promotional
Aeroplane,2001,Creator,,17,NA,Promotional
Brick Adventures Bucket,2001,Creator,,124,NA,Retail
All That Drives Bucket,2001,Creator,,165,1,Retail
Animal Adventures Bucket,2001,Creator,,209,2,Retail
Fantastic Flyers and Cool Cars,2001,Creator,,257,2,Retail
"Buildings, Mansions and Shops",2001,Creator,,361,3,Retail
Regular and Transparent Bricks,2001,Creator,,234,NA,Retail
Fun and Cool Transportation,2001,Creator,,606,2,Retail - limited
All Kinds of Animals,2001,Creator,,171,2,Retail
Advent Calendar,2001,Creator,Seasonal,231,NA,Retail - limited
Spot and Friends,2001,Creator,,53,NA,Retail
Tina's House,2001,Creator,,43,1,Retail
Max's Pitstop,2001,Creator,,58,1,Retail
Max Goes Flying,2001,Creator,,172,1,Retail
Adventures with Max and Tina,2001,Creator,,217,2,Retail
The Race of the Year,2001,Creator,,323,3,Retail
Building Stories with Nana Bird,2001,Creator,,373,3,Retail
Gear,2001,Racers,Xalax,8,NA,Retail
Surfer,2001,Racers,Xalax,8,NA,Retail
Loopin,2001,Racers,Xalax,8,NA,Retail
Warrior,2001,Racers,Xalax,8,NA,Retail
Shredd,2001,Racers,Xalax,8,NA,Retail
Spiky,2001,Racers,Xalax,8,NA,Retail
Scratch,2001,Racers,Xalax,8,NA,Retail
Lightor,2001,Racers,Xalax,8,NA,Retail
Rip,2001,Racers,Xalax,8,NA,Retail
Pulse,2001,Racers,Xalax,8,NA,Retail
Duster,2001,Racers,Xalax,7,NA,Retail
Snake,2001,Racers,Xalax,8,NA,Retail
Ghost,2001,Racers,Xalax,8,NA,Retail
Freeze & Chill,2001,Racers,Xalax,114,NA,Retail
Police Cruiser,2001,Jack Stone,,22,1,Not specified
Fire Cruiser,2001,Jack Stone,,21,1,Not specified
Res-Q Wrecker,2001,Jack Stone,,29,1,Not specified
Police Copter,2001,Jack Stone,,14,2,Not specified
Fire Response SUV,2001,Jack Stone,,28,2,Not specified
Aqua Res-Q Transport,2001,Jack Stone,,38,2,Not specified
Copter Transport,2001,Jack Stone,,64,2,Not specified
Bank Breakout,2001,Jack Stone,,65,3,Not specified
Fire Attack Team,2001,Jack Stone,,90,3,Not specified
Aqua Res-Q Super Station,2001,Jack Stone,,88,4,Not specified
Police HQ,2001,Jack Stone,,132,5,Not specified
Sorting Hat,2001,Harry Potter,Philospher's Stone,48,1,Retail
The Final Challenge,2001,Harry Potter,Philospher's Stone,60,2,Retail
The Room of the Winged Keys,2001,Harry Potter,Philospher's Stone,175,3,Retail
Snape's Class,2001,Harry Potter,Philospher's Stone,163,3,Retail
Forbidden Corridor,2001,Harry Potter,Philospher's Stone,238,3,Retail
Hagrid's Hut,2001,Harry Potter,Philospher's Stone,299,2,Retail
Hogwarts Express,2001,Harry Potter,Philospher's Stone,410,3,Retail
Hogwarts Castle,2001,Harry Potter,Philospher's Stone,682,9,Retail
Hogwarts Classrooms,2001,Harry Potter,Philospher's Stone,73,1,Retail
Gryffindor House,2001,Harry Potter,Philospher's Stone,68,1,Retail
Diagon Alley Shops,2001,Harry Potter,Philospher's Stone,80,1,Retail
Wind-Up Motor,2001,Technic,,41,NA,Retail
Duplo Bucket,2001,Duplo,,60,NA,Not specified
Small Bucket with Dog,2001,Duplo,,42,1,Not specified
Radio Control Racer,2001,Racers,,295,1,Retail
Adventurous Puppies,2001,Belville,Fairy-Tale,15,NA,Not specified
Vanilla's Magic Tea Party,2001,Belville,Fairy-Tale,14,1,Not specified
Rosita's Wonderful Stable,2001,Belville,Fairy-Tale,40,1,Not specified
The Enchanted Garden,2001,Belville,Fairy-Tale,103,2,Not specified
Red Beard Runner,2001,Pirates,,698,7,LEGO exclusive
Armada Flagship,2001,Pirates,,280,3,LEGO exclusive
Enchanted Island,2001,Pirates,Islanders,419,7,LEGO exclusive
Gas N' Wash Express,2001,Town,Shops and Services,470,3,LEGO exclusive
Brachiosaurus,2001,Dinosaurs,,25,NA,Retail
Tyrannosaurus Rex,2001,Dinosaurs,,23,NA,Retail
Mosasaurus,2001,Dinosaurs,,26,NA,Retail
Styracosaurus,2001,Dinosaurs,,19,NA,Retail
Ogel Command Striker,2001,Alpha Team,,29,1,Retail
Alpha Team Cruiser,2001,Alpha Team,,57,1,Retail
Alpha Team Helicopter,2001,Alpha Team,,79,1,Retail
Alpha Team ATV,2001,Alpha Team,,134,2,Retail
Alpha Team Bomb Squad,2001,Alpha Team,,190,3,Retail
Ogel Control Center,2001,Alpha Team,,422,3,Retail
Baby Ankylosaurus,2001,Dinosaurs,,37,NA,Retail
Baby Iguanodon,2001,Dinosaurs,,23,NA,Retail
Baby Brachiosaurus,2001,Dinosaurs,,31,NA,Retail
Baby Dimetrodon,2001,Dinosaurs,,20,NA,Retail
Droid Escape,2001,Star Wars,Episode IV-VI,45,2,Retail
Battle Droid Carrier,2001,Star Wars,Episode I,133,7,Retail
Imperial AT-ST,2001,Star Wars,Episode IV-VI,107,1,Retail
TIE Fighter,2001,Star Wars,Episode IV-VI,171,2,Retail
Imperial Shuttle,2001,Star Wars,Episode IV-VI,238,4,Retail
Watto's Junkyard,2001,Star Wars,Episode I,443,2,Retail
Double Hover,2001,Space,Life On Mars,21,1,Retail
Rover,2001,Space,Life On Mars,28,1,Retail
Worker Robot,2001,Space,Life On Mars,30,1,Retail
Mono Jet,2001,Space,Life On Mars,33,1,Retail
Red Planet Cruiser,2001,Space,Life On Mars,73,1,Retail
T-3 Trike,2001,Space,Life On Mars,99,1,Retail
Red Planet Protector,2001,Space,Life On Mars,194,1,Retail
Recon Mech RP,2001,Space,Life On Mars,194,1,Retail
Solar Explorer,2001,Space,Life On Mars,242,3,Retail
Excavation Searcher,2001,Space,Life On Mars,471,3,Retail
Aero Tube Hanger,2001,Space,Life On Mars,706,5,Retail
Alien Discovery,2001,Space,Product Collection,122,NA,Retail - limited
Soccer Co-Pack,2001,Sports,Product Collection,129,NA,Retail
C-3PO,2001,Star Wars,Technic,341,NA,Retail
Stormtrooper,2001,Star Wars,Technic,361,NA,Retail
Slammer Stunt Bike,2001,Technic,Speed Slammers,152,NA,Retail
Battle Cars,2001,Technic,Speed Slammers,115,NA,Retail
Slammer Turbo,2001,Technic,Speed Slammers,253,NA,Retail
Forklift,2001,Technic,,235,1,Retail
Pneumatic Front-End Loader,2001,Technic,,591,NA,Retail
Extreme Off-Roader,2001,Technic,,365,NA,Retail
4X4 Off-Roader,2001,Technic,,1102,NA,Retail
Masks,2001,Bionicle,Accessories,6,NA,Not specified
Masks,2001,Bionicle,Accessories,6,NA,Not specified
Pohatu,2001,Bionicle,Toa Mata,49,NA,Not specified
Onua,2001,Bionicle,Toa Mata,30,NA,Not specified
Gali,2001,Bionicle,Toa Mata,35,NA,Not specified
Tahu,2001,Bionicle,Toa Mata,33,NA,Not specified
Lewa,2001,Bionicle,Toa Mata,36,NA,Not specified
Kopaka,2001,Bionicle,Toa Mata,33,NA,Not specified
Nui-Rama,2001,Bionicle,Rahi,154,NA,Not specified
Muaka & Kane-ra,2001,Bionicle,Rahi,633,NA,Not specified
Manas,2001,Bionicle,Rahi,457,NA,Not specified
Vakama,2001,Bionicle,Turaga,28,NA,Not specified
Matau,2001,Bionicle,Turaga,25,NA,Not specified
Onewa,2001,Bionicle,Turaga,29,NA,Not specified
Nokama,2001,Bionicle,Turaga,27,NA,Not specified
Nuju,2001,Bionicle,Turaga,29,NA,Not specified
Whenua,2001,Bionicle,Turaga,28,NA,Not specified
Bionicle Power Pack,2001,Bionicle,Matoran,9,NA,Not specified
Nui-Jaga,2001,Bionicle,Rahi,226,NA,Not specified
Tarakava,2001,Bionicle,Rahi,411,NA,Not specified
Dolls Medium Set,2001,Education,,24,4,Not specified
Dolls Large Set,2001,Education,,63,8,Not specified
Community Builders Set,2001,Education,,1670,NA,Not specified
Airport Set,2001,Education,,1180,4,Not specified
Infrared Transmitter with USB Cable,2001,Education,,2,NA,Not specified
Intelligent House Set,2001,Education,,156,NA,Not specified
Tea With Bumble Bee,2000,Duplo,Little Forest Friends,10,2,Promotional (Airline)
Easter Bunny,2000,Seasonal,Easter,27,NA,Promotional
Blue Racer,2000,Town,Race,23,1,Promotional
Steven Spielberg Moviemaker Set,2000,Studios,,442,7,Retail
My Bumble Bee,2000,Baby,,12,NA,Not specified
Advent Calendar,2000,Basic,Seasonal,240,NA,Retail - limited
Musical Apple,2000,Baby,,2,NA,Not specified
Activity Friends,2000,Baby,,9,NA,Not specified
My Rattle Friends,2000,Baby,,3,NA,Not specified
Play Book,2000,Baby,,2,1,Not specified
My Racing Bugs,2000,Baby,,4,NA,Not specified
Tim & Tom's Adventure,2000,Baby,,1,1,Not specified
Timmy on Tour Stack 'n' Learn,2000,Baby,,9,1,Not specified
Happy Explorers Stack 'n' Learn,2000,Baby,,17,2,Not specified
Baby Mickey & Baby Minnie,2000,Baby,Disney's Baby Mickey,18,2,Not specified
Baby Mickey,2000,Baby,Disney's Baby Mickey,8,1,Not specified
Baby Mickey & Baby Minnie Playground,2000,Baby,Disney's Baby Mickey,9,2,Not specified
Motorbike,2000,Action Wheelers,,11,1,Not specified
Helicopter,2000,Action Wheelers,,18,1,Not specified
Radical Racer,2000,Action Wheelers,,16,1,Not specified
Construction,2000,Action Wheelers,,29,2,Not specified
Rescue Base,2000,Action Wheelers,,44,3,Not specified
MyBot,2000,Action Wheelers,,31,1,Not specified
Push Locomotive,2000,Duplo,Trains,10,1,Not specified
Train Starter Set with Motor,2000,Duplo,Trains,29,3,Not specified
Deluxe Train Set with Motor,2000,Duplo,Trains,75,3,Not specified
Train Station,2000,Duplo,Trains,40,3,Not specified
Supplementary Wagon,2000,Duplo,Trains,9,1,Not specified
Train Tunnel,2000,Duplo,Trains,14,1,Not specified
Play House,2000,Duplo,,73,4,Not specified
Special Tubes,2000,Duplo,,37,1,Not specified
Animal Safari,2000,Duplo,,48,1,Not specified
Pooh's Honeypot,2000,Duplo,Winnie the Pooh,44,2,Not specified
Tigger's Tree-House,2000,Duplo,Winnie the Pooh,33,2,Not specified
XL Idea Bucket,2000,Duplo,,78,1,Retail - limited
Duplo Storage Chest,2000,Duplo,,142,NA,Not specified
Carla's Winter Camp,2000,Scala,,167,1,Not specified
Happy Home,2000,Scala,,265,3,Not specified
Puppy Playground,2000,Scala,,35,NA,Not specified
Emma on the Move,2000,Scala,,65,1,Not specified
Playroom for the Baby Thomas,2000,Scala,,81,1,Not specified
Olivia in Smooth Dress,2000,Scala,,6,1,Not specified
Hot Wear for Woman,2000,Scala,,3,NA,Not specified
Cool Wear for Girls,2000,Scala,,2,NA,Not specified
Christian in Tough Wear,2000,Scala,,7,1,Not specified
Celebration,2000,Scala,,41,NA,Not specified
"Emperor Palpatine, Darth Maul and Darth Vader Minifig Pack - Star Wars #1",2000,Star Wars,Minifig Pack,32,3,LEGO exclusive
"Luke Skywalker, Han Solo and Boba Fett Minifig Pack - Star Wars #2",2000,Star Wars,Minifig Pack,22,3,LEGO exclusive
Chewbacca and 2 Biker Scouts Minifig Pack - Star Wars #3,2000,Star Wars,Minifig Pack,22,3,LEGO exclusive
2 Battle Droids and Command Officer Minifig Pack - Star Wars #4,2000,Star Wars,Minifig Pack,30,3,LEGO exclusive
Three Minifig Pack - Ninja #3,2000,Castle,Ninja,22,3,LEGO exclusive
Three Minifig Pack - City #1,2000,Town,City,24,3,LEGO exclusive
Three Minifig Pack - City #2,2000,Town,City,21,3,LEGO exclusive
Shoot 'n' Score,2000,Sports,Football,22,2,Retail
Stand with Lights,2000,Sports,Football,62,2,Retail
Fans' Grandstand with Scoreboard,2000,Sports,Football,81,3,Retail
Black Team Transport,2000,Sports,Football,127,6,Retail
Americas Team Bus,2000,Sports,Football,131,6,Retail
Blue Team Transport,2000,Sports,Football,133,6,Retail
Red Team Transport,2000,Sports,Football,133,6,Retail
Super Sports Coverage,2000,Sports,Football,222,5,Retail
Championship Challenge,2000,Sports,Football,294,12,Retail
Field Expander,2000,Sports,Football,53,4,Retail
Americas Team Bus,2000,Sports,Football,131,6,Retail
Point Shooting,2000,Sports,Football,24,1,Retail
Goalkeeper,2000,Sports,Football,27,1,Retail
Precision Shooting,2000,Sports,Football,24,1,Retail
Spy Runner,2000,Town,Special,107,2,LEGO exclusive
LEGO Mosaic,2000,Basic,Mosaic,2427,NA,Not specified
2x4 Ridge Roof Tiles Steep Sloped Black,2000,Bulk Bricks,,25,NA,LEGO exclusive
2x4 Ridge Roof Tiles Steep Sloped Red,2000,Bulk Bricks,,25,NA,LEGO exclusive
2x2 Window White,2000,Bulk Bricks,,25,NA,LEGO exclusive
1x3x4 Wall Element Transparent Blue,2000,Bulk Bricks,,25,NA,LEGO exclusive
1x4x5 Black Window Frames with Clear Panes,2000,Bulk Bricks,,20,NA,LEGO exclusive
1x4x6 Black Door and Frames with Transparent Blue Panes,2000,Bulk Bricks,,10,NA,LEGO exclusive
Statue of Liberty,2000,Advanced Models,Sculptures,2882,NA,LEGO exclusive
2x2 Black Bricks,2000,Bulk Bricks,,100,NA,LEGO exclusive
2x2 Light Grey Bricks,2000,Bulk Bricks,,100,NA,LEGO exclusive
2x2 White Bricks,2000,Bulk Bricks,,100,NA,LEGO exclusive
2x2 Dark Green Bricks,2000,Bulk Bricks,,100,NA,LEGO exclusive
2x2 Red Bricks,2000,Bulk Bricks,,100,NA,LEGO exclusive
2x4 Black Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
2x4 Light Grey Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
2x4 White Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
2x4 Dark Green Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
2x4 Red Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
2x8 Black Bricks,2000,Bulk Bricks,,25,NA,LEGO exclusive
2x8 Light Grey Bricks,2000,Bulk Bricks,,25,NA,LEGO exclusive
2x8 White Bricks,2000,Bulk Bricks,,25,NA,LEGO exclusive
2x8 Dark Green Bricks,2000,Bulk Bricks,,25,NA,LEGO exclusive
2x8 Red Bricks,2000,Bulk Bricks,,25,NA,LEGO exclusive
1x4 Black Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
1x4 Light Grey Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
1x4 White Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
1x4 Dark Green Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
1x4 Red Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
1x6 Black Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
1x6 Light Grey Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
1x6 White Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
1x6 Dark Green Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
1x6 Red Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
1x8 Black Bricks,2000,Bulk Bricks,,25,NA,LEGO exclusive
1x8 Light Grey Bricks,2000,Bulk Bricks,,25,NA,LEGO exclusive
1x8 White Bricks,2000,Bulk Bricks,,25,NA,LEGO exclusive
1x8 Dark Green Bricks,2000,Bulk Bricks,,25,NA,LEGO exclusive
1x8 Red Bricks,2000,Bulk Bricks,,25,NA,LEGO exclusive
2x4 Black Plates,2000,Bulk Bricks,,100,NA,LEGO exclusive
2x4 White Plates,2000,Bulk Bricks,,100,NA,LEGO exclusive
2x4 Red Plates,2000,Bulk Bricks,,100,NA,LEGO exclusive
1x6 Black Plates,2000,Bulk Bricks,,50,NA,LEGO exclusive
1x6 White Plates,2000,Bulk Bricks,,50,NA,LEGO exclusive
1x6 Red Plates,2000,Bulk Bricks,,50,NA,LEGO exclusive
2x8 Black Plates,2000,Bulk Bricks,,25,NA,LEGO exclusive
2x8 White Plates,2000,Bulk Bricks,,25,NA,LEGO exclusive
2x8 Red Plates,2000,Bulk Bricks,,25,NA,LEGO exclusive
2x2 Black Smooth Tiles,2000,Bulk Bricks,,100,NA,LEGO exclusive
2x2 White Smooth Tiles,2000,Bulk Bricks,,100,NA,LEGO exclusive
2x2 Red Smooth Tiles,2000,Bulk Bricks,,100,NA,LEGO exclusive
2x2 Roof Tiles Steep Sloped Black,2000,Bulk Bricks,,100,NA,LEGO exclusive
2x2 Roof Tiles Steep Sloped Red,2000,Bulk Bricks,,100,NA,LEGO exclusive
2x4 Roof Tiles Steep Sloped Black,2000,Bulk Bricks,,50,NA,LEGO exclusive
2x4 Roof Tiles Steep Sloped Red,2000,Bulk Bricks,,50,NA,LEGO exclusive
Small Spruce Tree,2000,Bulk Bricks,,25,NA,LEGO exclusive
LEGO Mini-Figure,2000,Advanced Models,Sculptures,1849,NA,LEGO exclusive
1x2 Light Grey Bricks,2000,Bulk Bricks,,100,NA,LEGO exclusive
1x2 Dark Grey Bricks,2000,Bulk Bricks,,100,NA,LEGO exclusive
1x2 Tan Bricks,2000,Bulk Bricks,,100,NA,LEGO exclusive
2x4 Dark Grey Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
2x4 Tan Bricks,2000,Bulk Bricks,,50,NA,LEGO exclusive
Pumpkin Pack,2000,Bulk Bricks,Seasonal,87,NA,LEGO exclusive
Castle Expander Pack,2000,Bulk Bricks,Castle,24,NA,LEGO exclusive
Grey Train Windows with Panes,2000,Bulk Bricks,Trains,20,NA,LEGO exclusive
Blue Train Windows with Panes,2000,Bulk Bricks,Trains,20,NA,LEGO exclusive
Grey Train Doors with Panes,2000,Bulk Bricks,Trains,20,NA,LEGO exclusive
Blue Train Doors with Panes,2000,Bulk Bricks,Trains,20,NA,LEGO exclusive
Train Accessories,2000,Bulk Bricks,Trains,15,NA,LEGO exclusive
Spruce Tree Large 2 1/2,2000,Bulk Bricks,,10,NA,LEGO exclusive
Ultimate Accessory Set,2000,Mindstorms,1.5,45,NA,Retail - limited
Mickey's Fire Engine,2000,Mickey Mouse,,26,1,Retail
Minnie's Birthday Party,2000,Mickey Mouse,,82,2,Retail
Mickey's Car Garage,2000,Mickey Mouse,,88,1,Retail
Mickey's Mansion,2000,Mickey Mouse,,119,2,Retail
Mickey's Fishing Adventure,2000,Mickey Mouse,,104,2,Retail
Defence Archer,2000,Castle,Knights' Kingdom I,15,1,Retail
Axe Cart,2000,Castle,Knights' Kingdom I,28,1,Retail
Fire Attack,2000,Castle,Knights' Kingdom I,24,1,Retail
Defense Archer,2000,Castle,Knights' Kingdom I,15,1,Retail - limited
Knights' Catapult,2000,Castle,Knights' Kingdom I,50,2,Retail
Dungeon,2000,Castle,Knights' Kingdom I,38,2,Retail
Dragon Rider,2000,Castle,Knights' Kingdom I,11,1,Retail
Bulls' Attack Wagon,2000,Castle,Knights' Kingdom I,49,2,Retail
Speed Computer,2000,Technic,,19,NA,Retail
Pneumatic Pack,2000,Technic,,147,NA,LEGO exclusive
Silver Wheel Multi Pack,2000,Technic,,28,NA,LEGO exclusive
Vehicle Styling Pack,2000,Technic,,221,NA,LEGO exclusive
Motorised Base Pack,2000,Technic,,55,NA,LEGO exclusive
Vehicle Chassis Pack,2000,Technic,,137,NA,LEGO exclusive
The Good Fairy's Bedroom,2000,Belville,Fairy-Tale,36,1,Not specified
The Good Fairy's House,2000,Belville,Fairy-Tale,66,1,Not specified
Stella and the Fairy,2000,Belville,Fairy-Tale,54,2,Not specified
The Queen's Room,2000,Belville,Fairy-Tale,79,1,Not specified
Royal Coach,2000,Belville,Fairy-Tale,83,3,Not specified
Johnny Thunder and Baby T,2000,Adventurers,Dino Island,23,1,Retail
Microcopter,2000,Adventurers,Dino Island,28,1,Retail
Johnny Thunder's Plane,2000,Adventurers,Dino Island,22,1,Retail - limited
Mike's Swamp Boat,2000,Adventurers,Dino Island,19,1,Retail - limited
Dr. Kilroy's Car,2000,Adventurers,Dino Island,21,1,Retail - limited
Sam Sanister and Baby T,2000,Adventurers,Dino Island,21,1,Retail - limited
Research Glider,2000,Adventurers,Dino Island,57,1,Retail
Dino Explorer,2000,Adventurers,Dino Island,90,2,Retail
Island Hopper,2000,Adventurers,Dino Island,205,1,Retail
All Terrain Trapper,2000,Adventurers,Dino Island,185,3,Retail
T-Rex Transport,2000,Adventurers,Dino Island,321,5,Retail
Dino Research Compound,2000,Adventurers,Dino Island,617,6,Retail
King Leo,2000,Castle,Knights' Kingdom I,21,2,Retail
Catapault Crusher,2000,Castle,Knights' Kingdom I,56,1,Retail
King Leo's Castle,2000,Castle,Knights' Kingdom I,529,8,Retail - limited
Guarded Treasure,2000,Castle,Knights' Kingdom I,103,2,Retail
Royal Joust,2000,Castle,Knights' Kingdom I,101,3,Retail
Bull's Attack,2000,Castle,Knights' Kingdom I,313,4,Retail
King Leo's Castle,2000,Castle,Knights' Kingdom I,529,8,Retail
Mini Tow Truck,2000,Town,City,35,1,Retail
Mini Dump Truck,2000,Town,City,25,1,Retail
4WD Police Patrol,2000,Town,City,30,1,Retail
4-Wheeled Front Shovel,2000,Town,City,52,1,Retail
Fire Fighters' Lift Truck,2000,Town,City,114,3,Retail
Fire Fighters' HQ,2000,Town,City,237,4,Retail
Turbo Tiger,2000,Town,Race,47,1,Retail
Mobile Outpost,2000,Town,Arctic,218,2,Retail
Polar Explorer,2000,Town,Bonus/Value Pack,78,NA,Retail - limited
Arctic Expedition,2000,Town,Arctic,121,2,Retail
Polar Base,2000,Town,Arctic,441,6,Retail
Snow Scooter,2000,Town,Arctic,21,1,Retail
Ice Surfer,2000,Town,Arctic,43,1,Retail
Highway Construction,2000,Town,City,317,5,Retail
Scorpion Buggy,2000,Town,Race,78,1,Retail
Rocket Dragster,2000,Town,Race,147,1,Retail
Tough Truck Rally,2000,Town,Race,383,4,Retail
Red Four Wheel Driver,2000,Town,Race,20,1,Retail
Snow Scooter,2000,Town,Arctic,20,1,Retail - limited
Grip 'n' Go Challenge,2000,Town,Race,291,3,Retail
Speed Dragster,2000,Town,Race,80,1,Retail
Desert Skiff,2000,Star Wars,Episode IV-VI,55,2,Retail
Gungan Patrol,2000,Star Wars,Episode I,77,2,Retail
